Feature:c_01, Importance:1528
Feature:t_1_c_17, Importance:805
Feature:t_1_c_18, Importance:735
Feature:t_1_c_19, Importance:764
Feature:t_1_c_20, Importance:762
Feature:t_1_c_21, Importance:845
Feature:t_1_c_22, Importance:779
Feature:t_1_c_23, Importance:728
Feature:t_1_c_24, Importance:728
Feature:t_1_c_25, Importance:779
Feature:t_1_c_26, Importance:771
Feature:t_1_c_27, Importance:782
Feature:t_1_c_28, Importance:816
Feature:t_1_c_29, Importance:831
Feature:t_1_c_30, Importance:819
Feature:t_1_c_31, Importance:826
Feature:t_1_c_32, Importance:937
Feature:t_1_c_33, Importance:797
Feature:t_1_c_34, Importance:905
Feature:t_1_c_35, Importance:999
Feature:t_1_c_36, Importance:885
Feature:t_1_c_37, Importance:994
Feature:t_1_c_38, Importance:1019
Feature:t_1_c_39, Importance:1288
Feature:t_1_c_40, Importance:1424
Feature:t_1_d_01, Importance:1627
Feature:t_1_d_02, Importance:1748
Feature:t_1_d_03, Importance:2206
Feature:t_1_d_04, Importance:2232
Feature:t_1_d_05, Importance:2189
Feature:t_1_d_06, Importance:2301
Feature:t_1_d_07, Importance:2016
Feature:t_1_d_08, Importance:1960
Feature:t_1_d_09, Importance:3216
Feature:t_1_d_10, Importance:2190
Feature:t_2_c_01, Importance:1180
Feature:t_2_c_02, Importance:1023
Feature:t_2_c_03, Importance:1042
Feature:t_2_c_04, Importance:863
Feature:t_2_c_05, Importance:952
Feature:t_2_c_06, Importance:862
Feature:t_2_c_07, Importance:756
Feature:t_2_c_08, Importance:810
Feature:t_2_c_09, Importance:703
Feature:t_2_c_10, Importance:742
Feature:t_2_c_11, Importance:735
Feature:t_2_c_12, Importance:721
Feature:t_2_c_13, Importance:790
Feature:t_2_c_14, Importance:710
Feature:t_2_c_15, Importance:782
Feature:t_2_c_16, Importance:644
Feature:t_2_c_17, Importance:788
Feature:t_2_c_18, Importance:713
Feature:t_2_c_19, Importance:717
Feature:t_2_c_20, Importance:774
Feature:t_2_c_21, Importance:834
Feature:t_2_c_22, Importance:712
Feature:t_2_c_23, Importance:710
Feature:t_2_c_24, Importance:734
Feature:t_2_c_25, Importance:744
Feature:t_2_c_26, Importance:669
Feature:t_2_c_27, Importance:777
Feature:t_2_c_28, Importance:765
Feature:t_2_c_29, Importance:719
Feature:t_2_c_30, Importance:724
Feature:t_2_c_31, Importance:702
Feature:t_2_c_32, Importance:735
Feature:t_2_c_33, Importance:910
Feature:t_2_c_34, Importance:791
Feature:t_2_c_35, Importance:823
Feature:t_2_c_36, Importance:905
Feature:t_2_c_37, Importance:883
Feature:t_2_c_38, Importance:1019
Feature:t_2_c_39, Importance:1086
Feature:t_2_c_40, Importance:1163
Feature:t_2_d_01, Importance:1490
Feature:t_2_d_02, Importance:1534
Feature:t_2_d_03, Importance:2256
Feature:t_2_d_04, Importance:2183
Feature:t_2_d_05, Importance:2233
Feature:t_2_d_06, Importance:2125
Feature:t_2_d_07, Importance:1596
Feature:t_2_d_08, Importance:1853
Feature:t_2_d_09, Importance:2604
Feature:t_2_d_10, Importance:1895
Feature:t_3_c_01, Importance:971
Feature:t_3_c_02, Importance:911
Feature:t_3_c_03, Importance:804
Feature:t_3_c_04, Importance:776
Feature:t_3_c_05, Importance:809
Feature:t_3_c_06, Importance:720
Feature:t_3_c_07, Importance:692
Feature:t_3_c_08, Importance:772
Feature:t_3_c_09, Importance:737
Feature:t_3_c_10, Importance:698
Feature:t_3_c_11, Importance:703
Feature:t_3_c_12, Importance:623
Feature:t_3_c_13, Importance:717
Feature:t_3_c_14, Importance:741
Feature:t_3_c_15, Importance:641
Feature:t_3_c_16, Importance:670
Feature:t_3_c_17, Importance:654
Feature:t_3_c_18, Importance:756
Feature:t_3_c_19, Importance:725
Feature:t_3_c_20, Importance:655
Feature:t_3_c_21, Importance:701
Feature:t_3_c_22, Importance:669
Feature:t_3_c_23, Importance:695
Feature:t_3_c_24, Importance:653
Feature:t_3_c_25, Importance:740
Feature:t_3_c_26, Importance:679
Feature:t_3_c_27, Importance:676
Feature:t_3_c_28, Importance:647
Feature:t_3_c_29, Importance:707
Feature:t_3_c_30, Importance:632
Feature:t_3_c_31, Importance:635
Feature:t_3_c_32, Importance:685
Feature:t_3_c_33, Importance:682
Feature:t_3_c_34, Importance:683
Feature:t_3_c_35, Importance:799
Feature:t_3_c_36, Importance:733
Feature:t_3_c_37, Importance:727
Feature:t_3_c_38, Importance:897
Feature:t_3_c_39, Importance:1009
Feature:t_3_c_40, Importance:1028
Feature:t_3_d_01, Importance:1422
Feature:t_3_d_02, Importance:1731
Feature:t_3_d_03, Importance:2318
Feature:t_3_d_04, Importance:2120
Feature:t_3_d_05, Importance:2376
Feature:t_3_d_06, Importance:1906
Feature:t_3_d_07, Importance:1343
Feature:t_3_d_08, Importance:1722
Feature:t_3_d_09, Importance:2159
Feature:t_3_d_10, Importance:1789
Feature:t_4_c_01, Importance:1070
Feature:t_4_c_02, Importance:904
Feature:t_4_c_03, Importance:913
Feature:t_4_c_04, Importance:827
Feature:t_4_c_05, Importance:729
Feature:t_4_c_06, Importance:808
Feature:t_4_c_07, Importance:740
Feature:t_4_c_08, Importance:642
Feature:t_4_c_09, Importance:707
Feature:t_4_c_10, Importance:832
Feature:t_4_c_11, Importance:650
Feature:t_4_c_12, Importance:707
Feature:t_4_c_13, Importance:691
Feature:t_4_c_14, Importance:665
Feature:t_4_c_15, Importance:682
Feature:t_4_c_16, Importance:618
Feature:t_4_c_17, Importance:643
Feature:t_4_c_18, Importance:652
Feature:t_4_c_19, Importance:688
Feature:t_4_c_20, Importance:656
Feature:t_4_c_21, Importance:706
Feature:t_4_c_22, Importance:643
Feature:t_4_c_23, Importance:699
Feature:t_4_c_24, Importance:589
Feature:t_4_c_25, Importance:607
Feature:t_4_c_26, Importance:601
Feature:t_4_c_27, Importance:697
Feature:t_4_c_28, Importance:716
Feature:t_4_c_29, Importance:694
Feature:t_4_c_30, Importance:689
Feature:t_4_c_31, Importance:595
Feature:t_4_c_32, Importance:641
Feature:t_4_c_33, Importance:634
Feature:t_4_c_34, Importance:624
Feature:t_4_c_35, Importance:714
Feature:t_4_c_36, Importance:785
Feature:t_4_c_37, Importance:758
Feature:t_4_c_38, Importance:910
Feature:t_4_c_39, Importance:910
Feature:t_4_c_40, Importance:1046
Feature:t_4_d_01, Importance:1407
Feature:t_4_d_02, Importance:1645
Feature:t_4_d_03, Importance:2183
Feature:t_4_d_04, Importance:2006
Feature:t_4_d_05, Importance:2220
Feature:t_4_d_06, Importance:1883
Feature:t_4_d_07, Importance:1198
Feature:t_4_d_08, Importance:1699
Feature:t_4_d_09, Importance:1799
Feature:t_4_d_10, Importance:1917
Feature:t_5_c_01, Importance:943
Feature:t_5_c_02, Importance:946
Feature:t_5_c_03, Importance:748
Feature:t_5_c_04, Importance:898
Feature:t_5_c_05, Importance:737
Feature:t_5_c_06, Importance:758
Feature:t_5_c_07, Importance:756
Feature:t_5_c_08, Importance:796
Feature:t_5_c_09, Importance:732
Feature:t_5_c_10, Importance:684
Feature:t_5_c_11, Importance:684
Feature:t_5_c_12, Importance:644
Feature:t_5_c_13, Importance:688
Feature:t_5_c_14, Importance:692
Feature:t_5_c_15, Importance:695
Feature:t_5_c_16, Importance:684
Feature:t_5_c_17, Importance:595
Feature:t_5_c_18, Importance:737
Feature:t_5_c_19, Importance:666
Feature:t_5_c_20, Importance:648
Feature:t_5_c_21, Importance:624
Feature:t_5_c_22, Importance:633
Feature:t_5_c_23, Importance:624
Feature:t_5_c_24, Importance:617
Feature:t_5_c_25, Importance:641
Feature:t_5_c_26, Importance:613
Feature:t_5_c_27, Importance:649
Feature:t_5_c_28, Importance:636
Feature:t_5_c_29, Importance:666
Feature:t_5_c_30, Importance:556
Feature:t_5_c_31, Importance:690
Feature:t_5_c_32, Importance:605
Feature:t_5_c_33, Importance:619
Feature:t_5_c_34, Importance:573
Feature:t_5_c_35, Importance:596
Feature:t_5_c_36, Importance:724
Feature:t_5_c_37, Importance:730
Feature:t_5_c_38, Importance:842
Feature:t_5_c_39, Importance:929
Feature:t_5_c_40, Importance:891
Feature:t_5_d_01, Importance:1503
Feature:t_5_d_02, Importance:1680
Feature:t_5_d_03, Importance:2301
Feature:t_5_d_04, Importance:1889
Feature:t_5_d_05, Importance:2326
Feature:t_5_d_06, Importance:1803
Feature:t_5_d_07, Importance:1086
Feature:t_5_d_08, Importance:1840
Feature:t_5_d_09, Importance:1857
Feature:t_5_d_10, Importance:1842
Feature:t_6_c_01, Importance:1072
Feature:t_6_c_02, Importance:947
Feature:t_6_c_03, Importance:788
Feature:t_6_c_04, Importance:843
Feature:t_6_c_05, Importance:845
Feature:t_6_c_06, Importance:708
Feature:t_6_c_07, Importance:745
Feature:t_6_c_08, Importance:731
Feature:t_6_c_09, Importance:700
Feature:t_6_c_10, Importance:714
Feature:t_6_c_11, Importance:696
Feature:t_6_c_12, Importance:728
Feature:t_6_c_13, Importance:682
Feature:t_6_c_14, Importance:781
Feature:t_6_c_15, Importance:753
Feature:t_6_c_16, Importance:664
Feature:t_6_c_17, Importance:650
Feature:t_6_c_18, Importance:772
Feature:t_6_c_19, Importance:743
Feature:t_6_c_20, Importance:726
Feature:t_6_c_21, Importance:628
Feature:t_6_c_22, Importance:661
Feature:t_6_c_23, Importance:666
Feature:t_6_c_24, Importance:739
Feature:t_6_c_25, Importance:738
Feature:t_6_c_26, Importance:635
Feature:t_6_c_27, Importance:656
Feature:t_6_c_28, Importance:607
Feature:t_6_c_29, Importance:733
Feature:t_6_c_30, Importance:667
Feature:t_6_c_31, Importance:646
Feature:t_6_c_32, Importance:660
Feature:t_6_c_33, Importance:736
Feature:t_6_c_34, Importance:651
Feature:t_6_c_35, Importance:655
Feature:t_6_c_36, Importance:674
Feature:t_6_c_37, Importance:765
Feature:t_6_c_38, Importance:859
Feature:t_6_c_39, Importance:958
Feature:t_6_c_40, Importance:937
Feature:t_6_d_01, Importance:1480
Feature:t_6_d_02, Importance:2004
Feature:t_6_d_03, Importance:2450
Feature:t_6_d_04, Importance:1993
Feature:t_6_d_05, Importance:2399
Feature:t_6_d_06, Importance:1920
Feature:t_6_d_07, Importance:1254
Feature:t_6_d_08, Importance:1632
Feature:t_6_d_09, Importance:1774
Feature:t_6_d_10, Importance:2045
Feature:t_7_c_01, Importance:1144
Feature:t_7_c_02, Importance:1231
Feature:t_7_c_03, Importance:1030
Feature:t_7_c_04, Importance:943
Feature:t_7_c_05, Importance:917
Feature:t_7_c_06, Importance:947
Feature:t_7_c_07, Importance:812
Feature:t_7_c_08, Importance:828
Feature:t_7_c_09, Importance:887
Feature:t_7_c_10, Importance:805
Feature:t_7_c_11, Importance:819
Feature:t_7_c_12, Importance:791
Feature:t_7_c_13, Importance:797
Feature:t_7_c_14, Importance:821
Feature:t_7_c_15, Importance:938
Feature:t_7_c_16, Importance:789
Feature:t_7_c_17, Importance:812
Feature:t_7_c_18, Importance:862
Feature:t_7_c_19, Importance:829
Feature:t_7_c_20, Importance:832
Feature:t_7_c_21, Importance:814
Feature:t_7_c_22, Importance:804
Feature:t_7_c_23, Importance:714
Feature:t_7_c_24, Importance:809
Feature:t_7_c_25, Importance:868
Feature:t_7_c_26, Importance:812
Feature:t_7_c_27, Importance:793
Feature:t_7_c_28, Importance:800
Feature:t_7_c_29, Importance:825
Feature:t_7_c_30, Importance:821
Feature:t_7_c_31, Importance:794
Feature:t_7_c_32, Importance:872
Feature:t_7_c_33, Importance:853
Feature:t_7_c_34, Importance:780
Feature:t_7_c_35, Importance:719
Feature:t_7_c_36, Importance:893
Feature:t_7_c_37, Importance:849
Feature:t_7_c_38, Importance:876
Feature:t_7_c_39, Importance:930
Feature:t_7_c_40, Importance:1035
Feature:t_7_d_01, Importance:1762
Feature:t_7_d_02, Importance:2328
Feature:t_7_d_03, Importance:2359
Feature:t_7_d_04, Importance:2058
Feature:t_7_d_05, Importance:2617
Feature:t_7_d_06, Importance:1992
Feature:t_7_d_07, Importance:1325
Feature:t_7_d_08, Importance:1628
Feature:t_7_d_09, Importance:2019
Feature:t_7_d_10, Importance:2307
Feature:c_diff_01_40, Importance:3452
Feature:c_diff_01_05, Importance:1886
Feature:c_diff_05_10, Importance:1907
Feature:c_diff_10_15, Importance:1711
Feature:c_diff_15_20, Importance:1782
Feature:c_diff_20_25, Importance:1762
Feature:c_diff_25_30, Importance:2011
Feature:c_diff_30_35, Importance:1973
Feature:c_diff_35_40, Importance:2095
