Feature:c_01, Importance:2361
Feature:t_2_c_22, Importance:1019
Feature:t_2_c_23, Importance:952
Feature:t_2_c_24, Importance:1016
Feature:t_2_c_25, Importance:1016
Feature:t_2_c_26, Importance:990
Feature:t_2_c_27, Importance:1054
Feature:t_2_c_28, Importance:1037
Feature:t_2_c_29, Importance:1066
Feature:t_2_c_30, Importance:1081
Feature:t_2_c_31, Importance:1077
Feature:t_2_c_32, Importance:1091
Feature:t_2_c_33, Importance:1238
Feature:t_2_c_34, Importance:1157
Feature:t_2_c_35, Importance:1197
Feature:t_2_c_36, Importance:1349
Feature:t_2_c_37, Importance:1245
Feature:t_2_c_38, Importance:1320
Feature:t_2_c_39, Importance:1563
Feature:t_2_c_40, Importance:1720
Feature:t_3_c_01, Importance:1481
Feature:t_3_c_02, Importance:1314
Feature:t_3_c_03, Importance:1236
Feature:t_3_c_04, Importance:1209
Feature:t_3_c_05, Importance:1150
Feature:t_3_c_06, Importance:1172
Feature:t_3_c_07, Importance:1092
Feature:t_3_c_08, Importance:1083
Feature:t_3_c_09, Importance:1091
Feature:t_3_c_10, Importance:1055
Feature:t_3_c_11, Importance:1021
Feature:t_3_c_12, Importance:976
Feature:t_3_c_13, Importance:980
Feature:t_3_c_14, Importance:1016
Feature:t_3_c_15, Importance:1065
Feature:t_3_c_16, Importance:982
Feature:t_3_c_17, Importance:996
Feature:t_3_c_18, Importance:1048
Feature:t_3_c_19, Importance:949
Feature:t_3_c_20, Importance:971
Feature:t_3_c_21, Importance:991
Feature:t_3_c_22, Importance:913
Feature:t_3_c_23, Importance:1000
Feature:t_3_c_24, Importance:975
Feature:t_3_c_25, Importance:1067
Feature:t_3_c_26, Importance:943
Feature:t_3_c_27, Importance:1009
Feature:t_3_c_28, Importance:1026
Feature:t_3_c_29, Importance:948
Feature:t_3_c_30, Importance:934
Feature:t_3_c_31, Importance:968
Feature:t_3_c_32, Importance:1061
Feature:t_3_c_33, Importance:989
Feature:t_3_c_34, Importance:924
Feature:t_3_c_35, Importance:1144
Feature:t_3_c_36, Importance:1110
Feature:t_3_c_37, Importance:1127
Feature:t_3_c_38, Importance:1236
Feature:t_3_c_39, Importance:1431
Feature:t_3_c_40, Importance:1546
Feature:t_4_c_01, Importance:1432
Feature:t_4_c_02, Importance:1305
Feature:t_4_c_03, Importance:1271
Feature:t_4_c_04, Importance:1163
Feature:t_4_c_05, Importance:1127
Feature:t_4_c_06, Importance:1151
Feature:t_4_c_07, Importance:1059
Feature:t_4_c_08, Importance:912
Feature:t_4_c_09, Importance:1007
Feature:t_4_c_10, Importance:1097
Feature:t_4_c_11, Importance:921
Feature:t_4_c_12, Importance:932
Feature:t_4_c_13, Importance:974
Feature:t_4_c_14, Importance:967
Feature:t_4_c_15, Importance:946
Feature:t_4_c_16, Importance:916
Feature:t_4_c_17, Importance:853
Feature:t_4_c_18, Importance:960
Feature:t_4_c_19, Importance:998
Feature:t_4_c_20, Importance:994
Feature:t_4_c_21, Importance:1076
Feature:t_4_c_22, Importance:1027
Feature:t_4_c_23, Importance:967
Feature:t_4_c_24, Importance:918
Feature:t_4_c_25, Importance:871
Feature:t_4_c_26, Importance:950
Feature:t_4_c_27, Importance:1105
Feature:t_4_c_28, Importance:1028
Feature:t_4_c_29, Importance:1035
Feature:t_4_c_30, Importance:946
Feature:t_4_c_31, Importance:960
Feature:t_4_c_32, Importance:930
Feature:t_4_c_33, Importance:975
Feature:t_4_c_34, Importance:1004
Feature:t_4_c_35, Importance:1038
Feature:t_4_c_36, Importance:1094
Feature:t_4_c_37, Importance:1143
Feature:t_4_c_38, Importance:1256
Feature:t_4_c_39, Importance:1371
Feature:t_4_c_40, Importance:1592
Feature:t_5_c_01, Importance:1404
Feature:t_5_c_02, Importance:1343
Feature:t_5_c_03, Importance:1155
Feature:t_5_c_04, Importance:1262
Feature:t_5_c_05, Importance:1054
Feature:t_5_c_06, Importance:1163
Feature:t_5_c_07, Importance:1044
Feature:t_5_c_08, Importance:1105
Feature:t_5_c_09, Importance:969
Feature:t_5_c_10, Importance:981
Feature:t_5_c_11, Importance:1039
Feature:t_5_c_12, Importance:945
Feature:t_5_c_13, Importance:1027
Feature:t_5_c_14, Importance:956
Feature:t_5_c_15, Importance:972
Feature:t_5_c_16, Importance:985
Feature:t_5_c_17, Importance:893
Feature:t_5_c_18, Importance:993
Feature:t_5_c_19, Importance:930
Feature:t_5_c_20, Importance:924
Feature:t_5_c_21, Importance:912
Feature:t_5_c_22, Importance:926
Feature:t_5_c_23, Importance:874
Feature:t_5_c_24, Importance:877
Feature:t_5_c_25, Importance:977
Feature:t_5_c_26, Importance:918
Feature:t_5_c_27, Importance:994
Feature:t_5_c_28, Importance:901
Feature:t_5_c_29, Importance:990
Feature:t_5_c_30, Importance:855
Feature:t_5_c_31, Importance:945
Feature:t_5_c_32, Importance:873
Feature:t_5_c_33, Importance:918
Feature:t_5_c_34, Importance:959
Feature:t_5_c_35, Importance:965
Feature:t_5_c_36, Importance:1049
Feature:t_5_c_37, Importance:1064
Feature:t_5_c_38, Importance:1110
Feature:t_5_c_39, Importance:1305
Feature:t_5_c_40, Importance:1367
Feature:t_6_c_01, Importance:1648
Feature:t_6_c_02, Importance:1375
Feature:t_6_c_03, Importance:1220
Feature:t_6_c_04, Importance:1319
Feature:t_6_c_05, Importance:1217
Feature:t_6_c_06, Importance:1141
Feature:t_6_c_07, Importance:1086
Feature:t_6_c_08, Importance:1078
Feature:t_6_c_09, Importance:995
Feature:t_6_c_10, Importance:1038
Feature:t_6_c_11, Importance:1017
Feature:t_6_c_12, Importance:1020
Feature:t_6_c_13, Importance:1024
Feature:t_6_c_14, Importance:1053
Feature:t_6_c_15, Importance:1035
Feature:t_6_c_16, Importance:973
Feature:t_6_c_17, Importance:927
Feature:t_6_c_18, Importance:1106
Feature:t_6_c_19, Importance:1039
Feature:t_6_c_20, Importance:1006
Feature:t_6_c_21, Importance:883
Feature:t_6_c_22, Importance:939
Feature:t_6_c_23, Importance:979
Feature:t_6_c_24, Importance:991
Feature:t_6_c_25, Importance:1046
Feature:t_6_c_26, Importance:955
Feature:t_6_c_27, Importance:979
Feature:t_6_c_28, Importance:931
Feature:t_6_c_29, Importance:1009
Feature:t_6_c_30, Importance:977
Feature:t_6_c_31, Importance:911
Feature:t_6_c_32, Importance:967
Feature:t_6_c_33, Importance:1005
Feature:t_6_c_34, Importance:967
Feature:t_6_c_35, Importance:936
Feature:t_6_c_36, Importance:987
Feature:t_6_c_37, Importance:1074
Feature:t_6_c_38, Importance:1240
Feature:t_6_c_39, Importance:1304
Feature:t_6_c_40, Importance:1393
Feature:t_7_c_01, Importance:1847
Feature:t_7_c_02, Importance:1903
Feature:t_7_c_03, Importance:1496
Feature:t_7_c_04, Importance:1343
Feature:t_7_c_05, Importance:1312
Feature:t_7_c_06, Importance:1301
Feature:t_7_c_07, Importance:1236
Feature:t_7_c_08, Importance:1244
Feature:t_7_c_09, Importance:1304
Feature:t_7_c_10, Importance:1203
Feature:t_7_c_11, Importance:1241
Feature:t_7_c_12, Importance:1245
Feature:t_7_c_13, Importance:1179
Feature:t_7_c_14, Importance:1206
Feature:t_7_c_15, Importance:1233
Feature:t_7_c_16, Importance:1157
Feature:t_7_c_17, Importance:1126
Feature:t_7_c_18, Importance:1201
Feature:t_7_c_19, Importance:1220
Feature:t_7_c_20, Importance:1149
Feature:t_7_c_21, Importance:1195
Feature:t_7_c_22, Importance:1223
Feature:t_7_c_23, Importance:1107
Feature:t_7_c_24, Importance:1187
Feature:t_7_c_25, Importance:1188
Feature:t_7_c_26, Importance:1208
Feature:t_7_c_27, Importance:1200
Feature:t_7_c_28, Importance:1193
Feature:t_7_c_29, Importance:1070
Feature:t_7_c_30, Importance:1086
Feature:t_7_c_31, Importance:1157
Feature:t_7_c_32, Importance:1344
Feature:t_7_c_33, Importance:1194
Feature:t_7_c_34, Importance:1073
Feature:t_7_c_35, Importance:1155
Feature:t_7_c_36, Importance:1243
Feature:t_7_c_37, Importance:1315
Feature:t_7_c_38, Importance:1255
Feature:t_7_c_39, Importance:1433
Feature:t_7_c_40, Importance:1577
Feature:c_diff_01_40, Importance:4322
Feature:c_diff_01_05, Importance:2770
Feature:c_diff_05_10, Importance:2622
Feature:c_diff_10_15, Importance:2695
Feature:c_diff_15_20, Importance:2579
Feature:c_diff_20_25, Importance:2626
Feature:c_diff_25_30, Importance:2908
Feature:c_diff_30_35, Importance:2896
Feature:c_diff_35_40, Importance:3233
